Company name,Assets,Debt,Shares,Price,capital,ROE,EPS,revenue
Россети Сибирь,82.1,42.1,94815.0,0.247,34.0,-1.1,0.0,64.8
Селигдар,74.3,58.5,1030.0,43.6,49.6,11.2,3.98,34.7
Южный Кузбасс,71.9,59.8,36.1,1222.0,53.5,-382.8,332.9,58.0
Ютэйр,71.8,28.3,3702.0,7.33,30.3,-48.3,1.1,53.3
Россети Волга,67.6,10.2,181095.0,0.026,6.85,-1.2,0.0,66.8
Газкон,65.9,0.0,225.4,328.0,73.9,3.3,9.58,0.0
Эл5 Энерго (Энел),65.4,34.4,35372.0,0.549,19.9,-81.0,-0.57,50.5
ГМС Группа,64.8,22.7,23.4,303.5,3.01,12.4,52.9,57.2
ДЭК,64.8,14.9,17207.0,0.938,27.6,11.6,0.16,126.1
ЦМТ,56.5,0.381,1083.0,7.74,12.2,1.4,0.62,6.87
Россети Северо-Запад,54.9,18.5,95786.0,0.026,3.48,-1.7,0.0,53.3
Аптеки 36 и 6,54.4,40.2,2331.0,14.0,29.5,-112.3,2.75,39.3
Якутскэнерго,52.4,33.0,7964.0,0.264,3.49,-1066.7,1.0,25.3
Россети Юг,51.8,23.3,151641.0,0.033,7.16,-70.8,0.0,44.1
Уральская кузница,39.9,2.06,0.548,16260.0,11.9,6.2,3797.0,15.1
Камчатскэнерго,33.9,13.5,41852.0,0.18,10.8,13.5,0.03,15.0
Мать и Дитя (MD),33.2,1.46,75.1,419.7,41.2,22.4,79.9,25.2
ЕМС,33.0,16.9,90.0,308.3,40.1,30.2,36.3,23.7
Газпром РнД (Ростовоблгаз),32.9,3.2,0.12,23600.0,3.62,5.0,8815.0,9.96
ЧКПЗ,32.1,9.34,0.6,6660.0,8.07,6.6,249.9,22.6
Ашинский МЗ,31.2,4.25,498.5,17.9,37.9,57.2,23.4,40.1
OR Group (Обувь России),45198.0,12.8,113.1,16.6,0.51,-38.9,-37.3,8.22
КТК,45106.0,10.7,99.3,152.4,15.1,-53.5,-48.2,39.5
ЯТЭК,29.2,9.63,826.9,123.7,98.7,13.0,2.21,7.58
Сахалинэнерго,45197.0,5.64,1237.0,3.04,5.03,-55.0,-5.09,12.5
ТНС энерго,45132.0,0.642,13.7,600.0,12.7,-25.4,-402.4,3.23
Абрау-Дюрсо,45101.0,7.47,98.0,191.0,26.8,13.9,17.9,13.8
HeadHunter,45192.0,7.57,50.3,1211.0,84.5,88.7,119.5,18.1
Россети Северный Кавказ,23.0,13.4,1828.0,11.8,31.4,-2.7,0.37,41.3
РБК,45129.0,20.5,365.6,3.73,1.44,5.8,-0.4,0.0
