Company name,Assets,Debt,Shares,Price,capital,ROE,EPS,revenue,P/E,P/S,grahamCoef,PSCoef,PECoef,ROECoef,Graham Difference,Graham Coefficient,Main Coefficient
VEON,1183.0,762.1,1757.0,128.4,92.1,44.4,28.3,573.8,4.5371024734982335,0.16050888811432557,53.599144689950116,1.797872835828478,27.60820770075289,78.45643270724474,3.5991446899501156,1.0679825380749481,47.98236963258844
Аэрофлот,1106.0,798.3,3976.0,58.9,155.1,24.9,-8.67,491.7,-6.793540945790081,0.31543624161073824,76.10867728306792,3.5332264579880257,20.182677469399316,77.07950854399097,6.1086772830679195,1.9212104283760276,51.4423941882276
Ростелеком,1103.0,444.4,3283.0,87.2,251.4,15.2,8.7,580.1,10.022988505747128,0.4333735562833994,43.46759793501367,4.85425171005697,31.203379755049443,76.39457703714166,6.532402064986329,2.0652746269188187,38.271670945116426
МТС,1083.0,486.1,1998.0,235.6,615.5,-356.9,16.7,541.8,14.107784431137725,1.136028054632706,78.86225498408444,12.724740692916948,33.88034826517514,50.12003954243751,8.862254984084444,2.857412372539475,0.657538211805953
ПИК СЗ,1061.0,447.3,660.5,1108.0,454.8,40.4,156.9,487.8,7.061822817080943,0.932349323493235,119.24947042528922,10.443319008088865,29.26278163298633,78.17398672503884,49.24947042528922,16.588853327136675,21.879032756826973
Русгидро,993.4,222.8,439289.0,0.761,362.9,3.2,0.04,418.6,19.025,0.8669374104156712,43.38164144822217,9.710634961471081,37.10284247927359,75.54723909052395,6.618358551777831,2.094499380597626,26.639262269181643
Башнефть,916.1,138.1,147.8,1359.0,292.2,15.0,563.6,851.7,2.4112845990063874,0.34307854878478333,25.817506426735218,3.8428501415839422,26.215054257540704,76.38045473803136,24.182493573264782,8.066212962021163,38.25633737688556
НЛМК,903.3,257.5,5993.0,217.5,809.1,78.0,62.0,1191.0,3.5080645161290325,0.6793450881612091,201.8391917002168,7.609398423398157,26.933828305082592,80.82897895777432,131.8391917002168,44.66892442771261,1.6168278015809605
ИнтерРАО,762.5,289.9,104400.0,3.4,444.0,6.8,0.3,63.2,11.333333333333334,7.025316455696202,75.10791366906474,78.6911289909291,32.062113435978425,75.80144047450925,5.107913669064743,1.5809560601292425,-36.53275801252752
ММК,721.8,71.4,11174.0,69.5,438.4,49.0,20.5,873.2,3.3902439024390243,0.5020613834173155,119.40236777367775,5.623629530855221,26.85661463799794,78.78124558678154,49.40236777367775,16.64083762188381,29.660163796044564
Полюс золото,699.2,247.7,133.6,7676.0,1336.0,30.0,837.4,288.5,9.166467637926917,4.630849220103986,227.13479512735324,51.87051083247379,30.642059328447964,77.4396271713035,157.13479512735324,53.26929662659053,-58.342239616208786
Северсталь,644.1,134.9,837.7,1606.0,836.5,96.2,357.6,835.5,4.491051454138702,1.0011968880909634,264.20781618224663,11.214486060937915,27.578028193395284,82.11410817681119,194.20781618224663,65.87392891090585,-22.55233498842786
Яндекс,616.7,51.2,372.2,1814.0,827.5,3.4,28.9,521.7,62.7681660899654,1.5861606287138201,119.39359858532274,17.76671149571485,65.76989960889955,75.56136138963424,49.393598585322735,16.637856143938347,-24.613105858918505
Россети,469.8,15.3,195996.0,1.12,222.3,-8.4,-0.2,24.9,-5.6000000000000005,8.927710843373495,48.29824422442245,100.0,20.96486379786814,74.72814574212681,1.7017557755775528,0.42288028081378426,-46.65959833655511
ФосАгро,455.6,190.8,129.5,6398.0,942.1,92.3,1408.0,569.5,4.544034090909091,1.6542581211589114,312.8931268882175,18.529476930659868,27.612750331981484,81.83872334416043,242.89312688821752,82.42667863658279,-46.73018255506372
Русагро,432.8,233.4,134.5,661.0,105.5,4.4,50.5,240.2,13.089108910891088,0.4392173189009159,44.58600802407222,4.919708160428613,33.2127598863321,75.63197288518572,5.413991975927779,1.6850210755619452,35.814483762863055
АЛРОСА,423.7,122.5,7365.0,122.5,488.7,40.8,12.4,327.0,9.879032258064516,1.4944954128440366,299.5393426294821,16.739962114177466,31.109038116220727,78.20223132325943,229.53934262948212,77.88646218278448,-47.53323108992325
ЛСР Группа,416.2,215.1,103.0,462.6,69.6,13.8,129.7,139.7,3.5666923670007713,0.49821045096635647,23.693585280954753,5.580494929852575,26.972250031275674,76.29572094336959,26.306414719045247,8.788334987194258,34.95464099504707
Самолет,409.8,282.6,61.6,2418.0,161.9,42.0,185.0,172.2,13.07027027027027,0.9401858304297329,117.09811320754719,10.53109634624397,33.20041399472904,78.2869651179212,47.098113207547186,15.857403181714371,18.698051595233817
МОЭСК,388.5,67.7,48707.0,1.01,54.4,7.1,0.28,199.7,3.6071428571428568,0.27240861291937907,15.334809850374063,3.05127056306457,26.998759235237717,75.82262392317469,34.665190149625936,11.63027469568565,34.14231942918675
Полиметалл,382.7,153.3,473.6,1312.0,277.1,41.1,142.0,212.9,9.23943661971831,1.3015500234852044,270.86451612903227,14.578765445245878,30.689879506013582,78.22341477192487,200.86451612903227,68.1371719018673,-35.1824020812019
Мосэнерго,379.1,7.51,39749.0,2.1,111.2,0.9,0.07,225.2,30.0,0.4937833037300178,22.46371000296025,5.5309061011594425,44.29530201342282,75.38483265075556,27.53628999703975,9.206486116872549,16.352138419300744
